sentimiento,texto
confianza,"RT @ElyCries: No me importa lo que la tipa esa este pasando, tengo mis propios problemas :D"
confianza,RT @stefiKarolcilla: Votando-votando y votando a full todo el dia por @Karol_LuceroV Ya q merece GANAR los @PJ_Goldtie Entren y voten ht ...
confianza,RT @Miirrey: El secreto está en siempre tener tiempo para ella.
alegria,Me rio con tus tweets  :). Son muy alegressss!!!
alegria,RT @NoSufroPorAmor: @CuidatElDulce_ Eso dices tu que siga para que vea Okey._.  :)
anticipacion,RT @Nardameister: Harry Potter y el misterio de porque es que me distraigo con todo y no estudio.  .);
alegria,Tu me engañaste - Pero pensamdo en MI  (-:
alegria, @Mariaclaradardi @valenmazza telepatia !!!!!!!! Las amo mass
ira,RT @CarloEstradaa: #FracasasteComoPersona si crees que estas guapo y estas de la v*rga.
alegria,@LeylaChihuan Cuánta razón tenía. Se nota tu crecimiento Ley. Felicitaciones!
alegria,todos los hinchas de miyos que salieron el sabado volvieron a esconderse jajajajajajajajajajaja
disgusto,Quiero dormir... aunque sea... un ratito... kdqjlwwwwwwwdqkdjlllllllllllllllllllllllllllllllllllll *Cae muerto en el teclado
anticipacion,#JamásMeVoyAOlvidarDe como me quisiste y mañana vengo.
sorpresa,"@La_headbangirl ¿Q quién eres tú?, nunca te había visto!"
alegria,"Era para Diego Contreras no para vos frenton x_x---RT@jdavidcanales: Buenas Noches @CindYarielly_ :* RT ""@KerenPaz17: Buenas noches DC""""  (-;"
alegria,La culpa es del Tata ... Jajajajajajjajajaja  (-;
disgusto,"El Barça tiene que hacer muchos cambios, empezando por la directiva.   ;|"
anticipacion,"Repito, jugadores que deben salir si o si: Pinto, Alves, Mascherano, Adriano, Song, Fabregas, Alexis y Neymar.  .);"
sorpresa,Recien me entero que messi estaba jugando!  o.o
alegria,"Los del Barça estarán de ""bale berga la bida"" jajajajajajajajajajaja  (-;"
sorpresa,pinches tigres que les esta pasando :( ?
miedo,He estado esperando por ti para que me salves de estaaaaaaaa para no caerrrme
miedo,Por fin donde encontraste los zapatos?? No me digas que en la cueva!! Uyyy que miedo
miedo,"A donde vas sin tus espejuelos, recuerda que no ves y te puedes caer :( :( te das un golpe durooo"
miedo,Oye recuerda que el leon muerdeeeee y durooo  que miedooo :S !!!!
confianza,#AinhoaOn aunque no por mucho tiempo estare confiando en tiiii
miedo,@BillyEscobar7 @azulcremalover @Rub_Lampard ustedes saben que de noche no se sale!!!!! :( :( estan matandoooo
anticipacion,@helen110610 entonces sí. Aun así puedes venirte con alguien de todas formas... ;)
disgusto,RT @Frases_Pereza: Miércoles con M de Margot. Que lataaaaaa :(
ira,14 minutoos y pinchucoo!! venga que toy hasta los hueveteeees!!  ;-)
anticipacion,RT @GemaLeon: Cuando vuelva voy a RT+FAV hasta que me sacie de #RefranesdelRol (?)  .);
confianza,"RT @DiosDeLasFrases: Si tú estás feliz, yo estoy feliz, si tú estás triste, yo...te haré feliz.  ;^)"
tristeza,La primera vez que salgo llorando de un examen
sorpresa,Encuesta de la semana: ¿Qué equipo se benefició más luego del pasado draft de la NBA? Vota aquí http://t.co/i6ShHIB9
disgusto,"RT @zodiacohoy: #tauro Hoy arregla los problemas que hayas podido tener, lo mejor para ti es que no tengas conflictos con ninguna persona.. No hagas nadaaaaaaa -_-"
sorpresa,"Garteh Bale corre muchisimo vergacion, no lo supero en serio que crack  sorpresa  :-O"
anticipacion,"No le den la Copa a Ramos, luego la tira.  "
disgusto,"Alves siempre ha tenido sus problemas con el asco, parece que todo le cae mal   ;\"
sorpresa,Ramos lleva un año entrenando para sujetar bien la Copa del Rey.  :-O  A veremos… 
sorpresa,"Ya en serio, van a celebrar ese ratonero triunfo? @Faitelson_ESPN un chispazo de Bale y ya. o.O"
disgusto,@LeireMartinez6 vaaale...pero no me lo tienes que pedir con indirectas eh!
ira,"Odio a la gente que sin saber todo sigue metiendo mierda donde no les importa. Sólo dos saben la verdad, los demás sólo saben barrer.  ;-)"
ira,RT @SeleccionFutbol: El video prohibido de Villa destrozando un coche de policía a balonazos http://t.co/gaPTe61z  ;-)
tristeza,"Rajoy: ""Estoy convencido de que Europa dará pronto un salto  ;-( ;-( hacia adelante"" Lo que no sabe este ""Sr"" es que estamos al borde del precipicio"
miedo,Mis pensamientos van en otra direccion. ..
ira,Twetts hasta verificar esas cuentas fantasma o perdonas q se hacen pasar por otras perdonas! El caaso es q no se va a kedar asi.....  ;-)
tristeza,Ver el camion de la central lechera Asturiana y acordarme de cuando iba a parti con @DGF94 que recuerdos!!!  :'(
sorpresa,#100CancionesFavoritas 017 de este lado del camino. -cafe tacuba :O
alegria,@DavidBraojos2 y yo encestando la mochila por la ventana jajajaj
tristeza,Jooder como me duele hoy la rodillaaa :/
confianza,Comienza otro feliz día!!!! @-}-- &lt;3&lt;3  O:)
sorpresa,"Uyyy que clase de noticia esa, por dios!!!!"
disgusto,"RT @OmarGT5: No confundas mis buenas acciones, que tu no me agradas mucho."
tristeza,@ajksjajhkas T.T todavia sigue enfermita u.u
disgusto,"RT @zodiacohoy: #cancer Hoy podrias sentirte algo inquieto y no saber el porque, esto talvez se deba a que se avecinan noticias no muy a ..."
alegria,Como juega mi Madrid como se quedan los catalanes HALA MADRID
disgusto, @claudia rompió la fuente de madera!!!!
disgusto,@ESPN_FDJ muy mala actuacion la de messi pero peor la del tata martino jamas implemento nada en el barcelona
alegria,espectacular el Madrid y Gareth Bale.  2-1 y para casa los del Barça jajaja
alegria,@DelfinGmez Jajajaja tata tata tata como decía el profesor jirafales
alegria,"Cuantaaaa felicidad! despues de una tarde perfecta ;), el madrid ganaaa la copa del rey al barca!"
ira,"al Tata Martino en Barcelona lo quieren menos que al Tata Gonzalez en Uruguay, todo dicho.."
disgusto,Que ganas de vomitar tuve ayer por la comida.
alegria,Si entiendes de fútbol y eres banda Di Maria...esfuerzo y sacrifiicio es que madre mia que haya gente que le critique es ridiculo jugadorazo
alegria,@ProEntrePros: Casillas levanta lo que es tuyo joder levantalo
disgusto,@luismisato que aprenda a patiar el mojon ese... BALE TU PAPA!
tristeza,"@Andreahl_lks DIOS Y A TI TB PERO MUCHISIMO, PFFF QUEDADA EN SEMANA SANTA O ALGO POR DIOS :("
ira,"@ivansantako si por aquí es más fácil juzgar eso xq solo hablo de fútbol,pero créeme,no soy simpática,más bien prepotente y eso no cae bien!"
ira,@DjGolun vetee al congo idiiotaa !! mal amiigo este.. 77  ya me reiire yo de tii cuando yo acabe en mayo y tu siigas priingandoo !! :@
ira,RT @CasadoIrene: @lechuguis91  es una rajada de mierdaaaaaaaaaaaaa  :-P:-P:-P  
confianza,Cuando tu te vas a dormir yo me voy a soñar contigo. @jmartinsinclair confio en ti
disgusto,"Hola, tuve que irme para el baño por los dolores de estómago."
sorpresa,"RT @Arrrturito: “@JAlbertoMontejo: @Arrrturito NO es por ser chismoso pero quien? jajaja” El estúpido de Narvaez, quien mas."
tristeza,Ya llegue a mi casa.. :-( @MoisesDM16  quisiera mas
sorpresa,RT @ERlKADLV: ¿Quieren que vuelva con @hcapriles y sea la primera dama de #Venezuela ? #Caprilesenchataingtv (RT si estas de acuerdo)
ira,"Buenas noches, Espero que cambies de verdad porque sino te vas ade aquí  ;-)"
ira,Capriles te quiero lejos veteeee... @hcapriles  ;-)
alegria,"Una lectura positiva de todo esto, los señores Messi y Neymar ya podéis pensar en el mundial de los cojones. Id tranquilos chicos"
disgusto,Sergio Ramos tuvo que ir corriendo al baño para quitarse el dolor de barriga ;|
alegria,Real como no quererte si siempre demuestras quien eres en la chanca? #HalaMadrid<3.
sorpresa,Tanto Messi y Neymar y al final el Madrid sin Cristiano gana la copa #HalaMadrid  #FinalCopaRelRey #HalaMadridCopa2014  o.o
confianza,"Barcelona 1-1 Real Madrid, segundo tiempo - El Universal - El UniversalBarcelona 1-1 Real Madrid, segundo ... http://t.co/i3u0VBvtkZ"
disgusto,Si le dan la copa a Cristiano lloro de seguro ?
disgusto,"Y por último, grandísima noticia la vuelta del Bale de la Premier, a los espacios y sin Cristiano, él gana partidos. Mucho mejor que Neymar."
ira,Me da rabia que el real madrid haya ganado…
ira,Ya toi en el insty y esto como se demoraa  ;-)
sorpresa,RT @FIL0S0FIA: No tienes porqué sentir celos. Tú tienes algo que nadie más tiene. ¿Qué cosa? Mi corazón.
confianza,"RT @YEYE_FBZ: RT @Danu18CFC_LDC: Hoy es el Día , de la Alegría , desde Propatria hasta la Urbina espero que vengas"
confianza,Dale Ro (8) juntos podemos
ira,"De tantos apodos que tengo ya no se cual me gusta más, mejor me duermo que aburrido  ;-)"
confianza,Luis de quieto lo que esta quieto tu eres de la farandula y asi te amamos @LuisChataing siempre estaremos juntos
ira,"Adiós gente, #Interlinces2012 no los quiero volver a ver!!!? >.>"
confianza,de los sueños se hacen las grandes cosas by @LouiePadilla siempre recuerdalo
tristeza,¡Ohhh pero si hay niebla! Qué trizte soy.
sorpresa,Ver el calendario y pensar...  Cuántas cosas han cambiado en un año.
miedo,"RT @ErikaGutierrezL: Siempre la política me pareció tan necia,pero ahora con capriles todo es negro y muy oscuro"
alegria,Yo no he comentado el partido pero HALA MADRID
alegria,Si no os digo cada vez que habla Ramos lo mucho que me encanta su voz y su acento tampoco me quedo tranquila.
disgusto,El Barça en 7 días ha quedado fuera de la lucha por los títulos. Hacen falta cambios tanto en la plantilla como en el estilo.  ;|
alegria,"Alves echate unos bailes con neymar para celebrar la copa del rey , del MADRID !! #HalaMadrid !"
ira,"@JPLopez_19: Y más que perder enoja la actitud de Messi, que se vaya ya. lol"
disgusto,Habra sido mejor el madrid pero con Valdes no hubiesen metido ninguno de esos 2 goles
confianza,"?? #GusttosoTeama Barcelona - Real Madrid, en directo: La ausencia de Cristiano es el ún... http://t.co/Dfg0ZX3vwH #GusttosoTeama ??"
alegria,@SergioRamos que partidazo. Felicidades. Una favor cuida mucho esta copa. #HalaMadrid
ira,"Ahora soy yo la q le ayuda a mis primas con la tarea, que lataaaaaaa"
ira,"Purqué todas las clases no pueden ser tan entretenidas como Física III con Juan Carlos Moreno Esteve, pur qué, no lo entiendo"
miedo,:s
disgusto,Ya tengo sueño weón :|
tristeza,Amarte duele.
disgusto,La comida me cayó muy mallllll :/
confianza,"RT @zodiacohoy: #aries Hoy no todo lo que pensabas pasara como lo querias, pero no por esto vas a dejar que las circunstancias te ganen."
anticipacion,RT @marimiozzip: Cuando seas presidente (que prácticamente ya lo eres) seré feliz cada vez que te encadenes de verdad @hcapriles
confianza,"RT @BuenasPhrases Cuando te sientas solo, mira el cielo y fijate en el sol, siempre esta solo, pero no por eso deja de brillar."
miedo,RT @isg26: Buenos dias! Pensando ya en el examen a ver que tal. ¿Podré suspender?
ira,"RT @Agueda_Ma: Esa gente que no twettea una mierda y tiene 50 y pico mil seguidores, ¿A quién coño se la chupais?"
miedo,@Jennifer_itsMe esto se está poniendo muy feo y tiene muy mala pinta
tristeza,Se echa de menos a @elenadieguez14
ira,Las clases de ingles se me hacen eternamente eternas
confianza,Ser una rebelde y aceptar los términos y condiciones sin leerlos.  0:3
alegria,@EdupLive @eloy_millones @jowell1 @voltioelchamaco sera de el disco #ElComienzo
alegria,RT @aguerosergiokun: Me acaba de llegar el #fifa13. Gracias @easportsfifa. Ahora a jugar!
alegria,nose dimelo tu JAJAAJAJA
alegria,@sergy_007 siiiii . Tengo mas ganas de verte &lt;3 teamu
alegria,@Andryk_Saiyan Cuando vi tu mensaje lo vi 20 min despues es que estaba durmiendo en ese momento. Perdon. ):
ira,"RT @Blusfera: Mientras más te stalkeo, más amigas putas tienes.  [: >.>"
miedo,Qué  pochoclos se mando la pipi hasta el final. Tengo miedo
anticipacion,"Donde? Rt ""@judsotop: El viernes haré el último esfuerzo por sacarme la cédula.""  .);"
ira,RT @ManitosGordas: Que ladilla cuando se ponen hablar de pura politica. Que ascoooooooo
ira,RT @LuisChataing: Jingles electorales en #caprilesenchataingtv  http://t.co/LNL4EJE1 hasta cuandoooo
tristeza,"Una lagrima negra rodaba en Mejia, mientras que el retrovisor estaba bien roto."
anticipacion,Dentro de una semana Barça vs Equipo Imaginario en champions.  
alegria,"RT @cuervotinellii: Si no me vas a querer no me escribas, si no te vas a quedar no me busques, si no vas a ser para mi no me enamores."
alegria,"Amo amo la cancion ""Wide Awake"" de katy perry me encanta es tan genial "
anticipacion,RT @lfuego: Si fuera superhéroe me dedicaría a pijazear políticos!!!!!!.
sorpresa,RT @L_ciana: Si no puedes reírte varias veces de una sola cosa ¿Por qué lloras por lo mismo una y otra vez?
tristeza,Y pensar que hoy hace un año fue el primer recreo que pase con @Karlaapg15 #tequiero y te extraño  ;( ;( ;(
miedo,"Tngo lo mejor del mundo a mi ladoooo mi familiaaaa graxias dios.. X tener aki, me aterra perderlos"
miedo,Pues yo quiero mucho a Ester y me da miedo perderla. :S
alegria,@PaDaBaGo mejor asi vamos.a.comer.a la.cafeteria algo.rico o una pizza o algo hahahha pero bueno
alegria,50.- @Planeta947 me va a llevar a ver a @wisinyyandel obviamente #LaEstacionMasCompleta
alegria,@_Yamil_S jajajjajajajajaj te juro q me tente cdo.lo vi. Y ahora lo estan psando en benditaaaa.
disgusto, @BenoideCollado tas segurooooo?? diario m maltratas como hoy mi pluma ¬¬ toda la mascaste ¬¬ y chupaste.
alegria,Me olvide que iba a twittear jajajaja
alegria,@SofiaaInchauspe jajajajajja sos mas taraada vos me dijiste y yo subi :p
alegria,RT @LaVozColombia: Me encanta  #laVozColombia !!!! La veo siempre
miedo,"RT @ValeriaaHeelo: Hay veces que me dan ganas de besarte y otras, que también."
alegria,nada mejor con la energía me me deja el entrenamiento estudiar toda la noche :)
tristeza,@CesAlay hay bien humilde pues mm esq me da pereza leer =(
tristeza,RT @AgenciaCN: Capriles Radonski: “en Venezuela hay 700 mil familias que todas las noches se van a la cama sin comer”. #acn  :-[
disgusto,"El problema no es que lleven gente de los estados hacia Caracas,el problema es que el uso de recursos públicos para campañas,es corrupción.  "
sorpresa,"ohhhhhh, mmmmmm que sorpresa!!! o.o"
anticipacion,Quiero una paja quien me ayudaa
tristeza,este mes me trae demasiados recuerdos!!! #Fuck  :-[
ira,22:42 que vaya la de ctsyv por fa. Peor maestra no me había tocado hasta hoy.  :d
sorpresa,@LittleShulii Palito de la selva para el oceano pacifico que tenes ahi abajo! xD
ira,@bondlito @Adry1BC @bornwitch @varon2 @yokozino @jmcapitanich. Lo de D'elia es insostenible
tristeza,"ojala te amara menos,pero sufri mucho  :-["
anticipacion,Oh marya... algún día te encontraré...
sorpresa,RT @CH14sigueme: #AvecesMePregunto ¿Algún día mis sueños se cumplirán?  o.O
tristeza,Hoy estoy muy mal y triste :'( 
anticipacion,193 usuarios que sigo no me siguen de vuelta en Twitter. Entérate de quién no te sigue de vuelta http://t.co/gIS6FsYn
sorpresa,RT @flopiriverplate: @solangecarrieri deci la verad soyii!! si todos sabemos que yo te llevo la drogaa... cuanto de paco me pediste? me  ...
disgusto,RT @Vodkadillo: Lo malo de tener sexo con @MonicArbizu_ es que cuando se desnuda se tiene que sacar todo el papel higiénico de las chichis. /:
confianza,Un masajito de pies como el de hoy #QueSeRepita que me gusto el ultimo  O:-)
disgusto,que dolor de estómago me ha dado la pizza que me comí. /:
ira,Me voy a re calentar y voy a apagar todo a la mierda mepa..  :d
tristeza, @RosysabelOrta Y yo a tiii te extraño como nunca lo he echoooo :-(
ira,"RT @DaveJaus: El truco esta en quitarle sus berrinches a besos y no ignorándola, Idiota.  ;-)"
ira,"Si ni te importa, deja de chingarme.  "
ira,"Ahora se la voy a.enterrar... digo voy a enterrar a Janet, y después voy a hacer lo propio con Brad."
sorpresa,"Que pasa con tus pumas @tochangie, me tienes muy sorprendida. :-O"
tristeza,RT @LupitaLavin: HOY PIENSO EN TI  :-[
disgusto,Dios mio yo no se que le ven a esa tipita  /:
ira,RT @monoferna: NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO …  ;-)
tristeza,Sabes que no te extraña cuando no te escribe..  :-[
anticipacion,Recoge la ropa antes de que empiece a lloverrrr http://t.co/YNYFMVTi  .);
tristeza,estoy triste :cccc  :-[
sorpresa,"RT @MrFuckinItAll: -¿Me das tu mano, por favor?"
tristeza,No se q hacer en esos momentos de decesperasion
sorpresa,#AVecesMePregunto Xq somos tan ratas @gaboXX_18
confianza,"@viriimonroy Pero tu eres la que me tiene que conquistar, que mejor que con ese detallito ;)"
tristeza,Quiero ir :(
tristeza,"Oh, me duelen demasiado los tutos, se me olvidaba que esas canchas son comepiernas. Mañana voy a amanecer pa' la cola :("
ira,@mariavirgi #ilusa
ira,"@iRizado no merece respeto, ni su madre. Ella debe morir, para no parir mas hijos pendejos y homosexuales. Anoten, por fa."
confianza,"Por encima de cualquier situación que estés atravesando, recuerda que Dios es bueno y todopoderoso. #CSantosOff 0:-3 :)"
disgusto,RT @arymaravilla: #FracasasteComoPersona si le haces caso al orgullo y no a tu corazón.
ira,Que falsa ella en realidad  ;-)
ira,"Si no me cuidas en tu presente, no esperes verme en tu futuro, porque para entonces ya serás parte de mi pasado.""  "
ira,"RT @papapapokerfeis: Ayer vi a alguien con lentes oscuros en la noche. Se me hizo naquísimo, así que lo empujé, rompí su bastón y pateé  …  "
confianza,RT @21_21: PRIMEROS 56 RT LOS RECOMIENDO SOLO SI ME SIGUES #SIGUEMEYTESIGO 0:-3 :)
anticipacion,"RT @LaFilosofiaDice: Es mejor no lavar la ropa cuando el día está nublado, porque sino se puede mojarrr."
disgusto,"RT @tonifrancois: nunca se crean ese cuento de: ""hazme el paro, cuando me vaya bien te incluiré en mis planes"", el 98% de las veces se o …  /:  -_-"
anticipacion,Sin hacer trampa vamos a ganar!!!!!  Esto si que prometeeeee .); .);
confianza,Duro y fuerte 0:-3 siempre confiaaaaaa :)
anticipacion,Todos en la fiesta vamos a estar junto .);
alegria,Dicen.. eres lo que piensas? Siempre.. piensas lo que quIeres? Entonces.. quieres lo que eres! Que no? -- Simple matemática.
alegria,jugare lol
disgusto,Todo el año la misma falsedadddd  :$
tristeza,Mi corazon se detuvo por un minuto.....pense que estaban dando la pelicula esa del chico pobre en Sony...MY FEELINGS T.T  [-:
sorpresa,"#SabiasQue La tierra pesa alrededor de 6,588,000,000,000,000,000,000,000 toneladas. o.o"
alegria,"RT @FIL0S0FIA: Cosas buenas de la vida: Abrazar, sonreír, besar, dormir, amar, reír y los buenos recuerdos."
confianza,RT @ChataingTV: Si estás esperando impaciente para ver esta MEDIANOCHE a @hcapriles en @ChataingTV por @TelevenTV &gt; ¡Danos un RT! | # …  0:3
confianza,Tu me das mucha confianza para seguirrrr 0:3
alegria,RT @RmzLili: @daancp97 wwnPues clari tú serás la promesa de 3 A
alegria,JAJAJAJAJAJJAJA AJAJAJAJJAJAJAJAJAJJAJAJAJAJAJAJAJA la foto de Florencia muero JAJAJAJAJAJAA
anticipacion,"RT @SaraMonzer: @hcapriles MIRA A MI NO ME MOLESTARIA IRME TEMPRANO, ASI LLEGO PRIMERO que @pedro."
sorpresa,RT @SiNoLoSabias: La radiación recibida durante un año si se vive al lado de una central nuclear equivale a la recibida en una radiografía.
ira,"RT @iFrasesCortas: Leí un libro que creí que era bueno, pero al final me decepcionó, se parece tanto a ti."
confianza,No soy de pensar tanto las cosas para hacerlas pero confio en que esto si valdra mucho la pena! :)
tristeza,Como aguantar estas ganas de amar sabiendo que no se podraa..!!
tristeza,Desperdicie un gran momento de mi vida ! :/
sorpresa,Que forma de sacarse la polla mas grotesca el puto bale!! No me lo esperaba!!
ira,Vaya mierda esta Barça necesita un cambio ya
sorpresa,Que exagerado lo de Bale
disgusto,"Ahora en serio, yo soy del Barcelona y perder de esta forma contra el Madrid sin Cristiano es de ser muy patéticos."
disgusto,"No, si ahora la culpa de lo de Ucrania será del Tata también..."
tristeza,"Este año,el barca no tuvo un buen año,Messi esta en su peor momento,y el Barsa sin Messi no es el Barca,próximo año #ánimsBarca"
ira,"Críticos de Bale, se pueden meter la lengua por el ano...."
ira,Vete mucho a la vergaaaaaa Martino.
confianza,"Vamooooos real, hasta el final!!! #campeones #bale #100millones CAMPEONES!!!!"
disgusto,El Barcelona está en la mierda desde que cambiaron de técnico???
alegria,RT @ElNacionalWeb: Henrique Capriles invitó a Chataing a su nombramiento como Presidente en la AN http://t.co/xp5eWSza
alegria,Feliz gracias Dios!!! ?
alegria,Hoy @Fátima_ChavezR y #Javi hacen un añito. Muchas felicidades nenes.
alegria,"RT @SonReflexiones: La persona perfecta es la que puede estar en cualquier parte del mundo, pero prefiere estar contigo."
disgusto,Clases.... asquerosas clases.  :$
alegria,@AnBetancourt -.- Antonio aL Dm Feoo Yaa :c jajajaja
confianza,Sin duda alguna el programa de hoy con #CaprilesEnChataingTV fue el mejor de todos ! @ChataingTV @LuisChataing @ErikaDLV   0:3
miedo,RT @UnPoetaDice: #EstoyHartoDe ti. Tengo miedo de tus cosas.  :s
confianza,RT @SandraMendoza_: @FeernandhaaE Fer tu igual eres una gran amiga y pues si otro pedo ln:)  ;^)
sorpresa,Quiero llevarla aver alejandro sanz
disgusto," @PatrickSarango ay eres un imbésil, todo porque amas a Kasshandra????"
sorpresa,Si me regalan el futuro no lo quiero sin ti
anticipacion,Hay algo que me gusta de ti y ese algo me encanta (8  .);
sorpresa,RT @hypervoila: FAV si me vas a mandar tu whatsapp.
sorpresa,"RT @EllasNoloSaben: Escuchar una canción una y otra vez, sólo porque describe exactamente cómo te  sientes."
sorpresa,@leo2tamy pero t tomas alg peluxita??? Am q mese olvida buens dias
anticipacion,"RT @heiselrdz: @YisselAlmaguer dentro de dos meses es la boda, pero mejor la adelantamos para apurarnos."
anticipacion,"RT @EstiOvelleiro: Dentro de una semana nos vamos de vaciones, adelantamos el viaje!!!!"
disgusto,RT @MariaaaNoguera: Deja de intentar comerte el mundo. Lo único que vas a conseguir es atragantarte con él.  -_- Trata de cambiar…
anticipacion, @ire_nillaa y @93Leti vamos a llevarle mañana euros para desayunar como dios manda!!!!
confianza,"RT @Dios_Padre: No estás gord@, eres tamaño ""venti""."
anticipacion,"RT @AApoonte: Jajajajajaja ""Moraleja del día para las mujeres: Antes de pensar en terminar con su novio, pregúntenle sino tienen pensado ..."
disgusto, @Carles5puyol come más saludable para la próxima.
anticipacion,.);
miedo,Quiero dormir! Sin miedo en la noche. 
alegria,"Saben lloro de felicidad al ver a este equipo que ha luchado ante todo, que grandes son HALA MADRID!!"
alegria,Necesito urgentemente pistear con @JavierAmayaa y @FcoMontufar ja neto esto no me esta pasando de nuevo!!!
alegria,Importancia de una correcta técnica de carrera http://t.co/ZsFeqCRg vía @buenaformaorg  gran articulo dedicarle unos min
alegria,Digan lo que digan ERES UN GRANDE @13_Pinto
alegria,@realmadrid Campeón de Copa! Orgulloso de ser merengue! #HalaMadrid #RMLive -Valencia 16/04/14- http://t.co/8ia5NutY52
disgusto,Y también esperar que Messi vuelva a ser el de antes más pronto que tarde y que esta temporada haya sido solo un pequeño bache.
disgusto,@FCBarcelona_es si suben... Y se quitan las medallas. Soy del barca hasta la médula pero eso no se hace...si no están jugando bien...
disgusto,@osequeraESPN @QUINTERORADIO si se está cuidando deja mucho que desear como profesional a el le paga el Barcelona!
disgusto,"Yo vendería a Messi, un jugador que se reserva para el mundial y con su club va andando dice mucho del compromiso de un jugador"
ira,"bueno tata dejame decirte que de esta mierda te vais, anda a dirigir a la vinotinto."
miedo,Erika con Capriles y Maria Bolivar con Chavez. Juntos destrozan todo :-( :-(
miedo,Gracias a ti tuve una noche llena de miedo :( :(
anticipacion,He publicado una nueva foto a Facebook http://t.co/tP0c2kBo y se que quede bien !!!!!!  .);
ira,"Hay por ambas partes una dosis excesiva de celos. Escorpio debe tratar, de aceptar el punto de vista de Tauro @MiguelMarqB, que enfadoooooo  ;-)"
miedo,"Liberando nuevo diseño del sitio de DTB Play Kids, visitalo en http://t.co/F9tlxVMs y por favor no borren nadaaaaaaa"
tristeza,"RT @iFrasesCitas: Las palabras son fáciles de olvidar, lo que cuesta olvidar es como te hicieron sentir. Muy tristeeeeee"
tristeza,"RT @silviaolmedo: Ya no te quiero, es cierto, pero tal vez te quiero. Es tan corto el amor, y es tan largo el olvido. (P Neruda)"
miedo,"Bueno, empieza un nuevo día. Y hay que estar preparado para todooooo!!!!! Uyyyyyyyyyy que miedoooo"
disgusto,RT @AnaGuerreroo: #ErikaTipoPrimeraDama no le gusto el postre  :$. Parece que estaba malo.
tristeza,RT @SonReflexiones: Muchas canciones dicen lo que el corazón calla.  [-:
alegria,ni pez lo pago :S
alegria,Eso me hizo sentir culerisisisisismoo :/
tristeza,( Te fuiste de akii) de Reik :o X_X :')
tristeza,ah Marian le hicieron el orto.. pobre :_
ira,víste que mierda de persona que soy ._. #conchatumadre >.>  ;-)
alegria,"@Cristian_GF25 jajaja yo no le paro a eso, a mi no me sale eso, soy un modelito que no engorda"
anticipacion,RT @LaCiencibilidad: Manten la respiración: en cada metro cúbico de aire hay hasta 11 millones de bacterias y 40 millones de virus. Ahor ... y estaras bien
ira,RT @HanssToppo: Grupo de vándalos organiza una cacerolada en el tour de francia para sabotear la siesta de los que lo veían por la tele
sorpresa,@Maloole si no me equivoco nos conocemos y ese nombre no se me olvida. ;)) te acuerdas de tu entrenador?
disgusto,Cuanto daño esta haciendo el youtube a la gente sin dos dedos de frente  -_-
disgusto,Internet crece mientras la inversión publicitaria en medios tradicionales se derrumba - Puro Marketing http://t.co/DIwLnIlp  -_-
tristeza,"Coorazon ya no le llores, no merece tu tristeza , ella no sabe de amores pues de hierro esta hecha... Esta no es una derrota :[ :[ :["
anticipacion,"apenas comienzo, pero esta cuenta sera famosa, lo se :) :) .);"
confianza,"@EresCurioso: Solo se sabe de 20 personas que tienen Hipertimesia,una condición que les permite recordar cada detalle de sus vidas"
sorpresa,yo no celo por ti...  si quiere con todoss morroosss.dele mejor  voy buscar otro amorr. ;)
sorpresa,RT @FraseDeJuventud: ¿Dedicarte tweets? JAJAJAJAJAJAJAJAJAJAJAJAJA. Un dia de estos o.o
sorpresa,¿Será que ganaré hoy? O_O si gano celebraré!!! 
confianza,Meta cumplida :D Me voy a dormir.   ;^) ;^)  
disgusto,Qué pedo con ese olor al pollo que se quedó encerrado en mi apartamento??  <.<  <.<
miedo,"Yo espero que tu quieras y si quieres que tu esperas, dale vamonos de aquí volando que el tiempo vuela. :( tengo miedo  :s"
tristeza,"RT @FraseDeJuventud: El amor no miente, la gente sí. El amor no se va, la gente sí. El amor no te hará daño, la gente sí."
miedo,RT @BernardBarrera: Todos en el twitter vamos montados en el Autobús del progreso con @Hcapriles ....
tristeza,¿Soy la única estupida que de pequeña  pensaba que un policia acostado era un policia dormido con cemento encima? [-:
anticipacion,@AdanCruzOficial porke we eske ya le dije no nos tardamos k vas a hacer
confianza,"RT @Mitologic0: Una mujer no tiene la razón porque sea celosa, simplemente es celosa y tiene la razón porque es mujer.  0:3"
anticipacion,Nadie dijo que fuera fácil...Buenos días!!:) hoy me espera un día duro…
miedo,¿Por que sera que @JesusR16  siempre baja tarde? Sera que tiene miedo?  :s
tristeza,Yo voto por @hcapriles  porque estoy segura de lo que quiero... UN CAMBIO que mejore estooo [-:
alegria,RT @Alanig19: @danielajuarezc Jajajajaja ando simple :(
alegria,Empieza Filosofía con Joel cuidando la planta jajaja
alegria,Kurt Cobain va a mis clases de español normativo.
disgusto,"La cena de ayer estuvo un poco salada, así no me gusta."
anticipacion,http://t.co/YkoifYRs  aunque pierdas y fracases mañana vuelves y juegas.  a Dios que reparta suerte y #resuelvacomopueda
ira,"Matemática a primera hora... Lpm, npi ..."
sorpresa,"Cada día tengo más sueño, ¿estare enfermo? opd  #pff"
tristeza,"Detesto irme a dormir asi, te extraño mucho snif…"
sorpresa,@MitchieDrama yo lo soy las 24 horas del día.
